,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scrape_date
0,Sr Designer : Interior/Exterior/BIW/Sunroof/HVAC/Seating,Satven,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai", 3 to 10 years of experience with Catia- V5 (Surfacing / Solid modelling / Drawing/ Asse...,catia v5,design plastic door trims sr interior trims injection closure,1 Day Ago,2023-03-05
1,Architect and Interior Designer,Milestone Consultants,0-3 Yrs,Not disclosed,Bangalore/Bengaluru(Shanti Nagar), Required Architects / Interior Designers with a BArch degree or D.Arch (Bachelors in In...,project management,CAD bill certification management interior designing architectural design project boq preparation,5 Days Ago,2023-03-05
2,Interior Designer,M/S Karribean Overseas,0-5 Yrs,1.75-2.25 Lacs PA,Kanpur Nagar," Candidate shall be well versed with Autocad, Sketchup and V-ray, Photoshop and MS offic...",interior designing,AutoCAD Candidate shall be well versed with Autocad vray revit design interiors auto,8 Days Ago,2023-03-05
3,Interior Designer,Aacord,1-2 Yrs,Not disclosed,"Pune, dhayari", Diploma / Bachelor in Interior Designing. . Good with Auto-cad and Sketch Up Software. ...,autocad,interiors 3d studio max 3ds max 3d designing design sketchup 3d,1 Day Ago,2023-03-05
4,Junior Architect and Interior Designer,Designwoods Studio,0-3 Yrs,"50,000-2.25 Lacs PA","Mumbai Suburban, Thane, Mumbai (All Areas)"," Should be proficient in designing interiors, architecture, drawings, site supervision, ...",autocad,ms office site supervision architecture architectural design working drawings sketchup interior designing,12 Days Ago,2023-03-05
5,Junior Interior Designer,RCPC,0-1 Yrs,Not disclosed,New Delhi," We are looking for an interior designer fresher or experienced, hardworking with all th...",technical design,tool design tools technical interior designing interiors design Interior Design,4 Days Ago,2023-03-05
6,Architect and Interior Designer,Adorn Design Studio ,0-5 Yrs,1.5-5 Lacs PA,Faridabad, Roles and Responsibilities - Design and coordination with principal Architect/Designer ...,Designing coordination with principal Architect site visit can work on 2d and 3d,site interiors 3d studio max 2d 3ds max draw drawing,11 Days Ago,2023-03-05
7,Senior Interior Designers,Finer Edge,5-8 Yrs,3.75-5 Lacs PA,"Mumbai(Ghatkopar West), Mumbai Suburban, Mumbai (All Areas)"," Location : Metro Station, Ghatkopar West, Mumbai 1) Sr Interior Designer: 5-8 yrs of ex...",3D sketches,Interior Designer Interior Designing interior decorator furniture design design development 3d furniture,1 Day Ago,2023-03-05
8,Interior Designer,Livspace,1-4 Yrs,Not disclosed,Salem, You should maintain familiarity with the Interior Design landscape and trends in order ...,interiors,sales design customer experience interior designing,1 Day Ago,2023-03-05
9,Senior Interior Designer,Olive Space,1-3 Yrs,4-5.5 Lacs PA,Hyderabad/Secunderabad(Jubilee Hills), The candidate will have end-to-end experience in managing a project with the necessary ...,Sketchup,Communication Skills production drawings presentation skills interiors client drawing production,1 Day Ago,2023-03-05
10,Interior Designer - Project Manager,Kanish Plaster,2-7 Yrs,Not disclosed,Coimbatore, Requirements . . . . A degree in Architecture or Interior Design and post graduation in...,soc,project management san construction management sm business development construction project,1 Day Ago,2023-03-05
11,"Interior designer: Lumion, Sketch UP Expert",rennovate.co.in,0-4 Yrs,2.5-4 Lacs PA,Mumbai(Fort)," Knowing Sketch up must, Lumion is MUST Architects with a BArch degree-preferred. . . . ...",sketch up,lumion architectural design interior designing design cad sketching interiors,14 Days Ago,2023-03-05
12,Interior Designer - Bangalore ( Face To face Interview on 8 Mar 23),DesignCafe,1-5 Yrs,3-6 Lacs PA,Bangalore/Bengaluru(Whitefield +2)," Job descriptionCollaborate with the customer, understand their requirements, and give t...",interior designing,client handling sketchup autocad design interiors handling client,1 Day Ago,2023-03-05
13,Interior Designer,Aryan Interiors,0-2 Yrs,Not disclosed,"Gujarat, Karnataka, Tamil Nadu, Maharashtra"," We are looking for a candidate who is good in Computer Aided Designing (CAD), PowerPoin...",Interior Designing,powerpoint layout 2d design interiors cad excel,12 Days Ago,2023-03-05
14,Interior Designer,YH Engineering,0-5 Yrs,1.75-3.5 Lacs PA,"Noida, Greater Noida(Sector Gamma Gr Noida +2)", Bike Most required for site supervision. . Should be serious and dedicated towards his ...,interior designing,Autocad 2D/3D Google Sketch up interior designer Architecture DESIGN photoshop sketchup 3d studio max,11 Days Ago,2023-03-05
15,Immediate openings For Interior Designer-Freshers,People Prime Worldwide,0-1 Yrs,Not disclosed,Hyderabad/Secunderabad," Interior designers make indoor spaces functional, safe, and beautiful by determining sp...",interior designing,architectural design design interiors architecture interior decoration,11 Days Ago,2023-03-05
16,CAD Designer ( Corporate interiors),Space Matrix Design Consultants,3-5 Yrs,Not disclosed,Mumbai," You should provide test-fit layouts, general arrangements and detailed technical drawin...",cad drawing,software testing corporate planning time management space planning technical documentation,3 Days Ago,2023-03-05
17,Interior designer 3d visualizer,Disha4designs,3-5 Yrs,4-5 Lacs PA,Noida, interior designer/architect with 3d visualizerPerks and Benefits,AutoCAD,3d visualizer autodesk 3ds max photoshop interiors 3d studio max 3ds max visualiser,1 Day Ago,2023-03-05
18,Interior Designer/Assistant Architect,Select Q,0-3 Yrs,Not disclosed,Faridabad, Interior designer will be responsible for making AutoCAD Drawings for various residenti...,AutoCAD,Interior Designing autocad 2d interior architecture assistance 2d design architecture,4 Days Ago,2023-03-05
19,Senior Interior Designer,Seedle Design Llp,8-12 Yrs,Not disclosed,Mumbai, Should have good knowledge of detailing and materialsProficient with AutoCAD. . . Quali...,AutoCAD,project senior quality control quality coordination interior designing site,4 Days Ago,2023-03-05
20,Relationship Manager - Retail Banking,Icici Bank,0-5 Yrs,Not disclosed,Mumbai, The candidate should have aPost-Graduate / MBA degree from a leading institution with s...,management,sales analysis value analysis relationship logistics retail banking sales process,3 Days Ago,2023-03-05
21,Walkin in Banking sales For Relationship Officer @Pune Location,Axis Bank,0-5 Yrs,1.5-2.5 Lacs PA,Pune, . Can freshers apply: Yes Language requirement: Marathi / Hindi/English . . sould have ...,banking sales,relationship sales,11 Days Ago,2023-03-05
22,Relationship Officer- Home Loan- Retail Banking-Bangalore,Axis Bank,0-5 Yrs,1.75-2.5 Lacs PA,Bangalore/Bengaluru(Electronic City +3)," EXPERIANCE - Freshers and experienced can apply, Both Men and women are eligible",Sales,marketing telecom sales showroom direct sales retail business development field,1 Day Ago,2023-03-05
23,"Virtual Relationship Manager at Hdfc Bank(Pune, Mohali & Ahmedabad)",Ayka Communication,0-4 Yrs,2-2.75 Lacs PA,"Mohali, Pune, Ahmedabad", Fresher / Experienced. . Qualification - Any graduates can applySome Experience as Clie...,BPO,Bank Sales english treasury relationship management management communication skills,1 Day Ago,2023-03-05
24,Hdfc Bank - Wholesale Credit Manager role - CA Fresher,Hdfc Bank,0-5 Yrs,Not disclosed,"Pune, Mumbai (All Areas)", HDFC bank is hiring for Wholesale Credit Vertical - Credit Manager role - CA FRESHEROng...,credit management,credit manager credit underwriting credit wholesale management credit appraisal ca,29 Days Ago,2023-03-05
25,Relationship Manager-Business Banking,IDFC FIRST Bharat,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad, Graduate - Any . . Post Graduate - MBA / CA Preferred (Tier I) . . . The role entails p...,management,credit assessment acquisition business banking analytics relationship relationship management monitoring,10 Days Ago,2023-03-05
26,Hiring freshers - Banking Process,Teleperformance (TP),04 Mar - 13 Mar,1.75-2 Lacs PA,Bangalore/Bengaluru(Marathahalli), male [rotational shift] female [day rotational shift],CSA,Customer Service fresher Domestic BPO banking process calling inbound relationship,1 Day Ago,2023-03-05
27,Freshers job in Bank,PVR Cinemas,0-1 Yrs,2-2.75 Lacs PA,"Madurai, Chennai, Coimbatore", Skills: BANKING AND FINANCE KNOWLEDGE MUST. . Job Type: FULL TIME / ON ROLL(permanent j...,Banking Operations,branch operations private banking banking operation operations freshers Banking B.E,Just Now,2023-03-05
28,"Wanted Freshers For PVT Bank- Banking Officer Role, Teller",Calibre Infotech,0-2 Yrs,2.5-3.75 Lacs PA,"Theni, Coimbatore, Erode"," Were hiring for Banking Sector PVT Banking profile in Coimbatore, Erode, Salem, Karur E...",fresher,finance operation finance financial operations operations banking,1 Day Ago,2023-03-05
